,Federal Entity,Order Count,Latitude,Longitude,Distance_km,Driving_Distance_km
0,Depot,0,19.74336803280877,-99.12892394313323,0.0,0.0
1,Aguascalientes,841,21.8823,-102.2826,404.7671680829578,452.71
2,Baja California,787,32.522499,-117.046623,2277.5487745675946,2734.72
3,Baja California Sur,885,23.062283,-109.699951,1155.6496655624956,1820.16
4,Campeche,307,19.85,-90.53,900.9819920649994,1165.11
5,Chiapas,661,16.7597,-93.1136,716.6458927410381,859.49
6,Chihuahua,892,28.6353,-106.0889,1211.7587471954757,1403.67
7,Coahuila,1257,25.4389,-100.9733,658.580309239131,800.89
8,Colima,732,19.233,-103.717,484.94717301772226,684.13
9,Durango,257,24.0277,-104.6532,742.1107105731209,856.91
10,Guanajuato,3548,21.116667,-101.683334,306.8763796662087,335.06
11,Guerrero,665,16.848824,-99.912437,330.91294015403923,419.73
12,Hidalgo,1343,20.117,-98.7333,58.5352609378407,68.59
13,Jalisco,20841,20.727859,-103.404007,459.7899366469004,518.87
14,Michoacán,970,19.76833,-101.18944,215.9738477792244,265.04
15,Morelos,2393,18.95532,-99.24002,88.01149675053186,120.46
16,México (state),23464,19.36,-99.3507,48.400972569843915,70.4
17,Nayarit,969,20.624307863138394,-105.22512256629656,644.5815232818237,819.62
18,Nuevo León,14719,25.686613,-100.316116,669.3501192542949,864.57
19,Oaxaca,1897,17.0654,-96.7237,390.4221480885511,493.64
20,Puebla,22986,19.0414,-98.2063,124.21952172171059,161.51
21,Querétaro,9523,20.5888,-100.3899,161.66498718827128,174.35
22,Quintana Roo,5011,21.16870217235174,-86.85035421919369,1290.5121455563217,1638.4
23,San Luis Potosí,1986,22.1565,-100.9855,329.6336798423191,371.27
24,Sinaloa,1265,24.8091,-107.394,1019.4853770591088,1193.69
25,Sonora,486,29.0729,-110.9559,1581.4217005208045,1861.58
26,Tabasco,569,17.9895,-92.9475,679.6226329207565,779.67
27,Tamaulipas,399,22.232910356604297,-97.85998816532071,305.58006901639857,435.11
28,Tlaxcala,620,19.3139,-98.24,104.71129378930537,141.64
29,Veracruz,3375,19.549217917305086,-96.9135621244524,233.3347267233209,293.56
30,Yucatán,3901,20.9674,-89.5926,1004.7042716429671,1338.5
31,Zacatecas,86,22.7709,-102.5832,490.7714162599951,574.46
